variable/parameter name	scope	Jenkins config definition	description
CI_ARTIFACT_NAME	ad hoc	job parameter	"work in progress, this name probably wont survive"
CI_ARTIFACTS	all jobs		abs. path to top of artifacts area (workspace): contents are saved by CI framework Job config
CI_ARTIFACTS_ENV	all jobs		abs. path to env folder within artifacts area (workspace): contents are saved by CI framework
CI_BUILD_SELECTOR_NUMBER			tbd
CI_BUILD_SELECTOR_PROJECT			tbd
CI_COMMON	all jobs		"abs. path* to ""common"" CI scripts (workspace}"
CI_COMMON_PART	all jobs	global env	"rel. path* to ""common"" CI scripts: CI_SRC_AUTOMATION_PART/common"
CI_ENV	global		special internal env var
CI_FORCE_HOME	ad hoc	node env	"optional override for workspace HOME, for use when a specific, non-volatile HOME is required. Klocwork, for example."
CI_FORCE_HOMEDRIVE	"ad hoc, Windows nodes"	node env	"CI_FORCE_HOME, drive component, Windows-style"
CI_FORCE_HOMEPATH	"ad hoc, Windows nodes"	node env	"CI_FORCE_HOME, path component, Windows-style"
CI_FORCE_LOCALAPPDATA	"ad hoc, Windows nodes"	node env	"CI_FORCE_HOME, Windows-style"
CI_FORCE_TEMP	"ad hoc, Windows nodes"	node env	"CI_FORCE_TMP, Windows-style"
CI_FORCE_TMP	ad hoc	node env	"optional override for workspace TMP, for use when workspace TMP won't work. Using Java jar to zip workspace TMP, for example."
CI_FORCE_USERPROFILE	"ad hoc, Windows nodes"	node env	"CI_FORCE_HOME, Windows-style"
CI_FULLSCAN	ad hoc	job parameter	special control for Xyzcity-specific scan job
CI_GENVERSION_PY	all jobs		abs. path to genversion.py (workspace)
CI_JOBSCRIPTS	all jobs		abs. path to job scripts (workspace)
CI_JOBSCRIPTS_PART	all jobs	job env	rel. path* to job scripts: CI_SRC_AUTOMATION_PART/jobs/CI_JOBTYPE
CI_JOBTYPE	all jobs	job env	"this Job ""Type"""
CI_KEEPGOING	ad hoc	job parameter	[TtYy]* means try to continue running build even after something failed.  [FfNn]* is default
